timestamp,sensor_id,reading,unit,quality
2024-01-15T10:00:00Z,HUMID-02,70.0,percent,good
2024-01-15T10:01:00Z,HUMID-02,72.0,percent,good
2024-01-15T10:02:00Z,HUMID-02,75.0,percent,good
2024-01-15T10:03:00Z,HUMID-02,78.0,percent,good
2024-01-15T10:04:00Z,HUMID-02,80.0,percent,good
2024-01-15T10:05:00Z,HUMID-02,82.0,percent,good
2024-01-15T10:06:00Z,HUMID-02,85.0,percent,good
2024-01-15T10:07:00Z,HUMID-02,88.0,percent,good
2024-01-15T10:08:00Z,HUMID-02,91.0,percent,acceptable
2024-01-15T10:09:00Z,HUMID-02,93.0,percent,good
2024-01-15T10:10:00Z,HUMID-02,92.0,percent,good
2024-01-15T10:11:00Z,HUMID-02,90.0,percent,good
2024-01-15T10:12:00Z,HUMID-02,88.0,percent,good
2024-01-15T10:13:00Z,HUMID-02,85.0,percent,good
2024-01-15T10:14:00Z,HUMID-02,82.0,percent,good
2024-01-15T10:15:00Z,HUMID-02,80.0,percent,good
2024-01-15T10:16:00Z,HUMID-02,78.0,percent,good
2024-01-15T10:17:00Z,HUMID-02,75.0,percent,good
2024-01-15T10:18:00Z,HUMID-02,72.0,percent,good
2024-01-15T10:19:00Z,HUMID-02,70.0,percent,good
