timestamp,sensor_id,reading,unit,quality
2024-01-15T10:00:00Z,TEMP-03,20.0,celsius,good
2024-01-15T10:01:00Z,TEMP-03,20.5,celsius,good
2024-01-15T10:02:00Z,TEMP-03,21.0,celsius,good
2024-01-15T10:03:00Z,TEMP-03,21.5,celsius,good
2024-01-15T10:04:00Z,TEMP-03,22.0,celsius,good
2024-01-15T10:05:00Z,TEMP-03,22.5,celsius,good
2024-01-15T10:06:00Z,TEMP-03,23.0,celsius,good
2024-01-15T10:07:00Z,TEMP-03,23.5,celsius,good
2024-01-15T10:08:00Z,TEMP-03,24.0,celsius,good
2024-01-15T10:09:00Z,TEMP-03,24.5,celsius,good
2024-01-15T10:10:00Z,TEMP-03,25.0,celsius,good
2024-01-15T10:11:00Z,TEMP-03,25.5,celsius,good
2024-01-15T10:12:00Z,TEMP-03,26.0,celsius,good
2024-01-15T10:13:00Z,TEMP-03,26.5,celsius,good
2024-01-15T10:14:00Z,TEMP-03,27.0,celsius,good
2024-01-15T10:15:00Z,TEMP-03,27.5,celsius,good
2024-01-15T10:16:00Z,TEMP-03,28.0,celsius,good
2024-01-15T10:17:00Z,TEMP-03,28.5,celsius,good
2024-01-15T10:18:00Z,TEMP-03,29.0,celsius,good
2024-01-15T10:19:00Z,TEMP-03,29.5,celsius,good
