timestamp,sensor_id,reading,unit,quality
2024-01-15T10:00:00Z,PRESS-02,1010.0,hpa,good
2024-01-15T10:01:00Z,PRESS-02,1010.2,hpa,good
2024-01-15T10:02:00Z,PRESS-02,1010.4,hpa,good
2024-01-15T10:03:00Z,PRESS-02,1010.6,hpa,good
2024-01-15T10:04:00Z,PRESS-02,1010.8,hpa,good
2024-01-15T10:05:00Z,PRESS-02,1011.0,hpa,good
2024-01-15T10:06:00Z,PRESS-02,1011.2,hpa,good
2024-01-15T10:07:00Z,PRESS-02,1011.4,hpa,good
2024-01-15T10:08:00Z,PRESS-02,1011.6,hpa,good
2024-01-15T10:09:00Z,PRESS-02,1011.8,hpa,good
2024-01-15T10:10:00Z,PRESS-02,1012.0,hpa,good
2024-01-15T10:11:00Z,PRESS-02,1012.2,hpa,good
2024-01-15T10:12:00Z,PRESS-02,1012.4,hpa,good
2024-01-15T10:13:00Z,PRESS-02,1012.6,hpa,good
2024-01-15T10:14:00Z,PRESS-02,1012.8,hpa,good
2024-01-15T10:15:00Z,PRESS-02,1013.0,hpa,good
2024-01-15T10:16:00Z,PRESS-02,1013.2,hpa,good
2024-01-15T10:17:00Z,PRESS-02,1013.4,hpa,good
2024-01-15T10:18:00Z,PRESS-02,1013.6,hpa,good
2024-01-15T10:19:00Z,PRESS-02,1013.8,hpa,good
