timestamp,sensor_id,reading,unit,quality
2024-01-15T10:00:00Z,TEMP-01,23.5,celsius,good
2024-01-15T10:01:00Z,TEMP-01,23.8,celsius,good
2024-01-15T10:02:00Z,TEMP-01,24.1,celsius,good
2024-01-15T10:03:00Z,TEMP-01,23.9,celsius,degraded
2024-01-15T10:04:00Z,TEMP-01,24.3,celsius,good
2024-01-15T10:05:00Z,TEMP-01,24.0,celsius,good
2024-01-15T10:06:00Z,TEMP-01,24.5,celsius,good
2024-01-15T10:07:00Z,TEMP-01,24.2,celsius,good
2024-01-15T10:08:00Z,TEMP-01,24.8,celsius,good
2024-01-15T10:09:00Z,TEMP-01,24.5,celsius,good
2024-01-15T10:10:00Z,TEMP-01,25.0,celsius,good
2024-01-15T10:11:00Z,TEMP-01,24.7,celsius,good
2024-01-15T10:12:00Z,TEMP-01,25.2,celsius,degraded
2024-01-15T10:13:00Z,TEMP-01,24.9,celsius,good
2024-01-15T10:14:00Z,TEMP-01,25.5,celsius,good
2024-01-15T10:15:00Z,TEMP-01,25.1,celsius,good
2024-01-15T10:16:00Z,TEMP-01,25.8,celsius,good
2024-01-15T10:17:00Z,TEMP-01,25.3,celsius,good
2024-01-15T10:18:00Z,TEMP-01,26.0,celsius,good
2024-01-15T10:19:00Z,TEMP-01,25.6,celsius,good
