timestamp,sensor_id,reading,unit,quality
2024-01-15T10:00:00Z,HUMID-01,55.0,percent,good
2024-01-15T10:01:00Z,HUMID-01,58.0,percent,good
2024-01-15T10:02:00Z,HUMID-01,60.0,percent,good
2024-01-15T10:03:00Z,HUMID-01,62.0,percent,good
2024-01-15T10:04:00Z,HUMID-01,65.0,percent,good
2024-01-15T10:05:00Z,HUMID-01,63.0,percent,good
2024-01-15T10:06:00Z,HUMID-01,67.0,percent,good
2024-01-15T10:07:00Z,HUMID-01,70.0,percent,good
2024-01-15T10:08:00Z,HUMID-01,68.0,percent,good
2024-01-15T10:09:00Z,HUMID-01,72.0,percent,good
2024-01-15T10:10:00Z,HUMID-01,71.0,percent,good
2024-01-15T10:11:00Z,HUMID-01,73.0,percent,good
2024-01-15T10:12:00Z,HUMID-01,75.0,percent,good
2024-01-15T10:13:00Z,HUMID-01,74.0,percent,good
2024-01-15T10:14:00Z,HUMID-01,76.0,percent,good
2024-01-15T10:15:00Z,HUMID-01,78.0,percent,good
2024-01-15T10:16:00Z,HUMID-01,77.0,percent,good
2024-01-15T10:17:00Z,HUMID-01,80.0,percent,good
2024-01-15T10:18:00Z,HUMID-01,79.0,percent,good
2024-01-15T10:19:00Z,HUMID-01,81.0,percent,good
