timestamp,sensor_id,reading,unit,quality
2024-01-15T10:00:00Z,TEMP-02,30.0,celsius,good
2024-01-15T10:01:00Z,TEMP-02,31.2,celsius,good
2024-01-15T10:02:00Z,TEMP-02,32.5,celsius,good
2024-01-15T10:03:00Z,TEMP-02,33.1,celsius,good
2024-01-15T10:04:00Z,TEMP-02,34.0,celsius,good
2024-01-15T10:05:00Z,TEMP-02,35.2,celsius,good
2024-01-15T10:06:00Z,TEMP-02,36.1,celsius,good
2024-01-15T10:07:00Z,TEMP-02,36.8,celsius,good
2024-01-15T10:08:00Z,TEMP-02,37.5,celsius,good
2024-01-15T10:09:00Z,TEMP-02,36.2,celsius,good
2024-01-15T10:10:00Z,TEMP-02,35.8,celsius,good
2024-01-15T10:11:00Z,TEMP-02,35.0,celsius,good
2024-01-15T10:12:00Z,TEMP-02,34.2,celsius,good
2024-01-15T10:13:00Z,TEMP-02,33.5,celsius,good
2024-01-15T10:14:00Z,TEMP-02,32.8,celsius,good
2024-01-15T10:15:00Z,TEMP-02,32.0,celsius,good
2024-01-15T10:16:00Z,TEMP-02,31.5,celsius,good
2024-01-15T10:17:00Z,TEMP-02,31.0,celsius,good
2024-01-15T10:18:00Z,TEMP-02,30.5,celsius,good
2024-01-15T10:19:00Z,TEMP-02,30.0,celsius,good
