image_id,star_id,filter,time_utc,airmass,exposure_sec,instrumental_mag,mag_uncertainty
N007-IMG-0001,STD_001,B,2025-09-18T05:22:00Z,1.0929,45,-8.2677,0.013
N007-IMG-0002,STD_001,B,2025-09-18T06:29:00Z,1.4476,45,-8.1486,0.013
N007-IMG-0003,STD_001,B,2025-09-18T07:36:00Z,1.8524,45,-8.0087,0.013
N007-IMG-0004,STD_002,B,2025-09-18T05:43:00Z,1.0571,45,-9.0272,0.013
N007-IMG-0005,STD_002,B,2025-09-18T06:50:00Z,1.4762,45,-8.8967,0.013
N007-IMG-0006,STD_002,B,2025-09-18T07:57:00Z,1.8595,45,-8.7528,0.013
N007-IMG-0007,STD_003,B,2025-09-18T05:04:00Z,1.0786,45,-9.4999,0.013
N007-IMG-0008,STD_003,B,2025-09-18T06:11:00Z,1.4619,45,-9.3638,0.013
N007-IMG-0009,STD_003,B,2025-09-18T07:18:00Z,1.8452,45,-9.2465,0.013
N007-IMG-0010,STD_004,B,2025-09-18T05:25:00Z,1.0786,45,-8.4623,0.013
N007-IMG-0011,STD_004,B,2025-09-18T06:32:00Z,1.4333,45,-8.3365,0.013
N007-IMG-0012,STD_004,B,2025-09-18T07:39:00Z,1.831,45,-8.2323,0.013
N007-IMG-0013,STD_005,B,2025-09-18T05:46:00Z,1.0643,45,-7.7509,0.013
N007-IMG-0014,STD_005,B,2025-09-18T06:53:00Z,1.4333,45,-7.6447,0.013
N007-IMG-0015,STD_005,B,2025-09-18T07:00:00Z,1.8238,45,-7.5377,0.013
N007-IMG-0016,STD_006,B,2025-09-18T05:07:00Z,1.05,45,-10.4778,0.013
N007-IMG-0017,STD_006,B,2025-09-18T06:14:00Z,1.469,45,-10.3534,0.013
N007-IMG-0018,STD_006,B,2025-09-18T07:21:00Z,1.8238,45,-10.2442,0.013
N007-IMG-0019,STD_007,B,2025-09-18T05:28:00Z,1.0857,45,-9.2825,0.013
N007-IMG-0020,STD_007,B,2025-09-18T06:35:00Z,1.4405,45,-9.1777,0.013
N007-IMG-0021,STD_007,B,2025-09-18T07:42:00Z,1.831,45,-9.0833,0.013
N007-IMG-0022,STD_008,B,2025-09-18T05:49:00Z,1.0643,45,-7.2995,0.013
N007-IMG-0023,STD_008,B,2025-09-18T06:56:00Z,1.4548,45,-7.1835,0.013
N007-IMG-0024,STD_008,B,2025-09-18T07:03:00Z,1.8167,45,-7.0425,0.013
N007-IMG-0025,STD_009,B,2025-09-18T05:10:00Z,1.0643,45,-10.5677,0.013
N007-IMG-0026,STD_009,B,2025-09-18T06:17:00Z,1.4548,45,-10.4435,0.013
N007-IMG-0027,STD_009,B,2025-09-18T07:24:00Z,1.8167,45,-10.3237,0.013
N007-IMG-0028,STD_010,B,2025-09-18T05:31:00Z,1.0929,45,-8.8553,0.013
N007-IMG-0029,STD_010,B,2025-09-18T06:38:00Z,1.4619,45,-8.7508,0.013
N007-IMG-0030,STD_010,B,2025-09-18T07:45:00Z,1.8452,45,-8.6166,0.013
N007-IMG-0031,STD_011,B,2025-09-18T05:52:00Z,1.0571,45,-10.1172,0.013
N007-IMG-0032,STD_011,B,2025-09-18T06:59:00Z,1.4619,45,-9.9992,0.013
N007-IMG-0033,STD_011,B,2025-09-18T07:06:00Z,1.831,45,-9.8691,0.013
N007-IMG-0034,STD_012,B,2025-09-18T05:13:00Z,1.0857,45,-9.5346,0.013
N007-IMG-0035,STD_012,B,2025-09-18T06:20:00Z,1.4476,45,-9.393,0.013
N007-IMG-0036,STD_012,B,2025-09-18T07:27:00Z,1.8381,45,-9.2538,0.013
N007-IMG-0037,STD_013,B,2025-09-18T05:34:00Z,1.0857,45,-8.0415,0.013
N007-IMG-0038,STD_013,B,2025-09-18T06:41:00Z,1.4476,45,-7.9664,0.013
N007-IMG-0039,STD_013,B,2025-09-18T07:48:00Z,1.8381,45,-7.8344,0.013
N007-IMG-0040,STD_014,B,2025-09-18T05:55:00Z,1.0929,45,-8.8877,0.013
N007-IMG-0041,STD_014,B,2025-09-18T06:02:00Z,1.4762,45,-8.7844,0.013
N007-IMG-0042,STD_014,B,2025-09-18T07:09:00Z,1.8167,45,-8.6599,0.013
N007-IMG-0043,PROG_A1,B,2025-09-18T06:55:00Z,1.4588,90,-6.4793,0.013
N007-IMG-0044,PROG_A1,B,2025-09-18T07:00:00Z,1.8739,90,-6.6026,0.013
N007-IMG-0045,PROG_A2,B,2025-09-18T06:05:00Z,1.4906,90,-7.3405,0.013
N007-IMG-0046,PROG_A2,B,2025-09-18T07:10:00Z,1.8676,90,-7.235,0.013
N007-IMG-0047,PROG_B1,B,2025-09-18T06:15:00Z,1.4461,90,-6.7421,0.013
N007-IMG-0048,PROG_B1,B,2025-09-18T07:20:00Z,1.8485,90,-6.6243,0.013
N007-IMG-0049,PROG_B2,B,2025-09-18T06:25:00Z,1.4652,90,-7.7653,0.013
N007-IMG-0050,PROG_B2,B,2025-09-18T07:30:00Z,1.8676,90,-7.6373,0.013
N007-IMG-0051,PROG_C1,B,2025-09-18T06:35:00Z,1.497,90,-8.0539,0.013
N007-IMG-0052,PROG_C1,B,2025-09-18T07:40:00Z,1.8294,90,-8.1728,0.013
N007-IMG-0053,PROG_C2,B,2025-09-18T06:45:00Z,1.4842,90,-7.0823,0.013
N007-IMG-0054,PROG_C2,B,2025-09-18T07:50:00Z,1.823,90,-7.0035,0.013
N007-IMG-0055,PROG_D1,B,2025-09-18T06:55:00Z,1.4524,90,-8.0008,0.013
N007-IMG-0056,PROG_D1,B,2025-09-18T07:00:00Z,1.823,90,-7.8995,0.013
N007-IMG-0057,PROG_D2,B,2025-09-18T06:05:00Z,1.4906,90,-7.3574,0.013
N007-IMG-0058,PROG_D2,B,2025-09-18T07:10:00Z,1.8676,90,-7.2907,0.013
N007-IMG-0059,STD_001,V,2025-09-18T05:08:00Z,1.0714,30,-9.5611,0.013
N007-IMG-0060,STD_001,V,2025-09-18T06:15:00Z,1.469,30,-9.4925,0.013
N007-IMG-0061,STD_001,V,2025-09-18T07:22:00Z,1.8238,30,-9.4279,0.013
N007-IMG-0062,STD_002,V,2025-09-18T05:29:00Z,1.0786,30,-10.249,0.013
N007-IMG-0063,STD_002,V,2025-09-18T06:36:00Z,1.4476,30,-10.22,0.013
N007-IMG-0064,STD_002,V,2025-09-18T07:43:00Z,1.8524,30,-10.1493,0.013
N007-IMG-0065,STD_003,V,2025-09-18T05:50:00Z,1.0857,30,-10.7117,0.013
N007-IMG-0066,STD_003,V,2025-09-18T06:57:00Z,1.4548,30,-10.626,0.013
N007-IMG-0067,STD_003,V,2025-09-18T07:04:00Z,1.8381,30,-10.5805,0.013
N007-IMG-0068,STD_004,V,2025-09-18T05:11:00Z,1.05,30,-9.838,0.013
N007-IMG-0069,STD_004,V,2025-09-18T06:18:00Z,1.4548,30,-9.7551,0.013
N007-IMG-0070,STD_004,V,2025-09-18T07:25:00Z,1.8238,30,-9.6861,0.013
N007-IMG-0071,STD_005,V,2025-09-18T05:32:00Z,1.0929,30,-9.1822,0.013
N007-IMG-0072,STD_005,V,2025-09-18T06:39:00Z,1.4762,30,-9.1065,0.013
N007-IMG-0073,STD_005,V,2025-09-18T07:46:00Z,1.8595,30,-9.0424,0.013
N007-IMG-0074,STD_006,V,2025-09-18T05:53:00Z,1.0643,30,-11.5818,0.013
N007-IMG-0075,STD_006,V,2025-09-18T06:00:00Z,1.4476,30,-11.4983,0.013
N007-IMG-0076,STD_006,V,2025-09-18T07:07:00Z,1.831,30,-11.469,0.013
N007-IMG-0077,STD_007,V,2025-09-18T05:14:00Z,1.0643,30,-10.4507,0.013
N007-IMG-0078,STD_007,V,2025-09-18T06:21:00Z,1.4548,30,-10.3962,0.013
N007-IMG-0079,STD_007,V,2025-09-18T07:28:00Z,1.8595,30,-10.3015,0.013
N007-IMG-0080,STD_008,V,2025-09-18T05:35:00Z,1.0786,30,-8.8224,0.013
N007-IMG-0081,STD_008,V,2025-09-18T06:42:00Z,1.4619,30,-8.7529,0.013
N007-IMG-0082,STD_008,V,2025-09-18T07:49:00Z,1.831,30,-8.6775,0.013
N007-IMG-0083,STD_009,V,2025-09-18T05:56:00Z,1.0786,30,-11.6973,0.013
N007-IMG-0084,STD_009,V,2025-09-18T06:03:00Z,1.4333,30,-11.6525,0.013
N007-IMG-0085,STD_009,V,2025-09-18T07:10:00Z,1.831,30,-11.582,0.013
N007-IMG-0086,STD_010,V,2025-09-18T05:17:00Z,1.0643,30,-10.0233,0.013
N007-IMG-0087,STD_010,V,2025-09-18T06:24:00Z,1.4548,30,-9.9409,0.013
N007-IMG-0088,STD_010,V,2025-09-18T07:31:00Z,1.8381,30,-9.9016,0.013
N007-IMG-0089,STD_011,V,2025-09-18T05:38:00Z,1.0857,30,-11.2263,0.013
N007-IMG-0090,STD_011,V,2025-09-18T06:45:00Z,1.4762,30,-11.1687,0.013
N007-IMG-0091,STD_011,V,2025-09-18T07:52:00Z,1.8381,30,-11.1186,0.013
N007-IMG-0092,STD_012,V,2025-09-18T05:59:00Z,1.0571,30,-10.6907,0.013
N007-IMG-0093,STD_012,V,2025-09-18T06:06:00Z,1.4619,30,-10.6214,0.013
N007-IMG-0094,STD_012,V,2025-09-18T07:13:00Z,1.8595,30,-10.5469,0.013
N007-IMG-0095,STD_013,V,2025-09-18T05:20:00Z,1.0571,30,-9.4725,0.013
N007-IMG-0096,STD_013,V,2025-09-18T06:27:00Z,1.4619,30,-9.4094,0.013
N007-IMG-0097,STD_013,V,2025-09-18T07:34:00Z,1.8595,30,-9.3211,0.013
N007-IMG-0098,STD_014,V,2025-09-18T05:41:00Z,1.0571,30,-10.1157,0.013
N007-IMG-0099,STD_014,V,2025-09-18T06:48:00Z,1.4405,30,-10.0593,0.013
N007-IMG-0100,STD_014,V,2025-09-18T07:55:00Z,1.8452,30,-9.979,0.013
N007-IMG-0101,PROG_A1,V,2025-09-18T06:45:00Z,1.4715,60,-7.8926,0.013
N007-IMG-0102,PROG_A1,V,2025-09-18T07:50:00Z,1.8421,60,-8.0984,0.013
N007-IMG-0103,PROG_A2,V,2025-09-18T06:55:00Z,1.4842,60,-8.6513,0.013
N007-IMG-0104,PROG_A2,V,2025-09-18T07:00:00Z,1.8612,60,-8.6181,0.013
N007-IMG-0105,PROG_B1,V,2025-09-18T06:05:00Z,1.4906,60,-8.3046,0.013
N007-IMG-0106,PROG_B1,V,2025-09-18T07:10:00Z,1.823,60,-8.2723,0.013
N007-IMG-0107,PROG_B2,V,2025-09-18T06:15:00Z,1.4397,60,-9.1823,0.013
N007-IMG-0108,PROG_B2,V,2025-09-18T07:20:00Z,1.8803,60,-9.1057,0.013
N007-IMG-0109,PROG_C1,V,2025-09-18T06:25:00Z,1.4461,60,-9.4716,0.013
N007-IMG-0110,PROG_C1,V,2025-09-18T07:30:00Z,1.823,60,-9.6223,0.013
N007-IMG-0111,PROG_C2,V,2025-09-18T06:35:00Z,1.4842,60,-8.4066,0.013
N007-IMG-0112,PROG_C2,V,2025-09-18T07:40:00Z,1.8485,60,-8.3581,0.013
N007-IMG-0113,PROG_D1,V,2025-09-18T06:45:00Z,1.4461,60,-9.3239,0.013
N007-IMG-0114,PROG_D1,V,2025-09-18T07:50:00Z,1.8167,60,-9.2699,0.013
N007-IMG-0115,PROG_D2,V,2025-09-18T06:55:00Z,1.4524,60,-8.8208,0.013
N007-IMG-0116,PROG_D2,V,2025-09-18T07:00:00Z,1.8612,60,-8.8106,0.013
N007-IMG-0117,STD_001,R,2025-09-18T05:54:00Z,1.0571,25,-10.1985,0.013
N007-IMG-0118,STD_001,R,2025-09-18T06:01:00Z,1.4619,25,-10.1447,0.013
N007-IMG-0119,STD_001,R,2025-09-18T07:08:00Z,1.831,25,-10.0841,0.013
N007-IMG-0120,STD_002,R,2025-09-18T05:15:00Z,1.0929,25,-10.8874,0.013
N007-IMG-0121,STD_002,R,2025-09-18T06:22:00Z,1.4619,25,-10.7993,0.013
N007-IMG-0122,STD_002,R,2025-09-18T07:29:00Z,1.8167,25,-10.7682,0.013
N007-IMG-0123,STD_003,R,2025-09-18T05:36:00Z,1.0929,25,-11.2268,0.013
N007-IMG-0124,STD_003,R,2025-09-18T06:43:00Z,1.4762,25,-11.2335,0.013
N007-IMG-0125,STD_003,R,2025-09-18T07:50:00Z,1.8595,25,-11.1682,0.013
N007-IMG-0126,STD_004,R,2025-09-18T05:57:00Z,1.0929,25,-10.4774,0.013
N007-IMG-0127,STD_004,R,2025-09-18T06:04:00Z,1.4619,25,-10.3954,0.013
N007-IMG-0128,STD_004,R,2025-09-18T07:11:00Z,1.8452,25,-10.3578,0.013
N007-IMG-0129,STD_005,R,2025-09-18T05:18:00Z,1.0786,25,-9.8354,0.013
N007-IMG-0130,STD_005,R,2025-09-18T06:25:00Z,1.4476,25,-9.8316,0.013
N007-IMG-0131,STD_005,R,2025-09-18T07:32:00Z,1.8381,25,-9.7867,0.013
N007-IMG-0132,STD_006,R,2025-09-18T05:39:00Z,1.05,25,-12.0709,0.013
N007-IMG-0133,STD_006,R,2025-09-18T06:46:00Z,1.469,25,-12.0184,0.013
N007-IMG-0134,STD_006,R,2025-09-18T07:53:00Z,1.8595,25,-11.9768,0.013
N007-IMG-0135,STD_007,R,2025-09-18T05:00:00Z,1.0786,25,-10.98,0.013
N007-IMG-0136,STD_007,R,2025-09-18T06:07:00Z,1.469,25,-10.9139,0.013
N007-IMG-0137,STD_007,R,2025-09-18T07:14:00Z,1.8524,25,-10.9036,0.013
N007-IMG-0138,STD_008,R,2025-09-18T05:21:00Z,1.05,25,-9.5664,0.013
N007-IMG-0139,STD_008,R,2025-09-18T06:28:00Z,1.4548,25,-9.5352,0.013
N007-IMG-0140,STD_008,R,2025-09-18T07:35:00Z,1.8524,25,-9.4806,0.013
N007-IMG-0141,STD_009,R,2025-09-18T05:42:00Z,1.05,25,-12.2445,0.013
N007-IMG-0142,STD_009,R,2025-09-18T06:49:00Z,1.4405,25,-12.1936,0.013
N007-IMG-0143,STD_009,R,2025-09-18T07:56:00Z,1.8238,25,-12.1716,0.013
N007-IMG-0144,STD_010,R,2025-09-18T05:03:00Z,1.0571,25,-10.5558,0.013
N007-IMG-0145,STD_010,R,2025-09-18T06:10:00Z,1.4762,25,-10.4884,0.013
N007-IMG-0146,STD_010,R,2025-09-18T07:17:00Z,1.8595,25,-10.4383,0.013
