image_id,star_id,filter,time_utc,airmass,exposure_sec,instrumental_mag,mag_uncertainty
N002-IMG-0001,STD_001,B,2025-09-13T05:22:00Z,1.0929,45,-8.3026,0.01
N002-IMG-0002,STD_001,B,2025-09-13T06:29:00Z,1.4762,45,-8.1908,0.01
N002-IMG-0003,STD_001,B,2025-09-13T07:36:00Z,1.8595,45,-8.0872,0.01
N002-IMG-0004,STD_002,B,2025-09-13T05:43:00Z,1.0571,45,-9.0459,0.01
N002-IMG-0005,STD_002,B,2025-09-13T06:50:00Z,1.4405,45,-8.9349,0.01
N002-IMG-0006,STD_002,B,2025-09-13T07:57:00Z,1.8595,45,-8.8402,0.01
N002-IMG-0007,STD_003,B,2025-09-13T05:04:00Z,1.0857,45,-9.5572,0.01
N002-IMG-0008,STD_003,B,2025-09-13T06:11:00Z,1.4405,45,-9.4443,0.01
N002-IMG-0009,STD_003,B,2025-09-13T07:18:00Z,1.8452,45,-9.3242,0.01
N002-IMG-0010,STD_004,B,2025-09-13T05:25:00Z,1.0857,45,-8.5201,0.01
N002-IMG-0011,STD_004,B,2025-09-13T06:32:00Z,1.4405,45,-8.4145,0.01
N002-IMG-0012,STD_004,B,2025-09-13T07:39:00Z,1.8595,45,-8.2975,0.01
N002-IMG-0013,STD_005,B,2025-09-13T05:46:00Z,1.0571,45,-7.831,0.01
N002-IMG-0014,STD_005,B,2025-09-13T06:53:00Z,1.4762,45,-7.7209,0.01
N002-IMG-0015,STD_005,B,2025-09-13T07:00:00Z,1.831,45,-7.5984,0.01
N002-IMG-0016,STD_006,B,2025-09-13T05:07:00Z,1.05,45,-10.537,0.01
N002-IMG-0017,STD_006,B,2025-09-13T06:14:00Z,1.4548,45,-10.417,0.01
N002-IMG-0018,STD_006,B,2025-09-13T07:21:00Z,1.8238,45,-10.3205,0.01
N002-IMG-0019,STD_007,B,2025-09-13T05:28:00Z,1.0643,45,-9.3434,0.01
N002-IMG-0020,STD_007,B,2025-09-13T06:35:00Z,1.4548,45,-9.2174,0.01
N002-IMG-0021,STD_007,B,2025-09-13T07:42:00Z,1.8381,45,-9.1371,0.01
N002-IMG-0022,STD_008,B,2025-09-13T05:49:00Z,1.0857,45,-7.3161,0.01
N002-IMG-0023,STD_008,B,2025-09-13T06:56:00Z,1.4405,45,-7.234,0.01
N002-IMG-0024,STD_008,B,2025-09-13T07:03:00Z,1.8595,45,-7.1075,0.01
N002-IMG-0025,STD_009,B,2025-09-13T05:10:00Z,1.0857,45,-10.6372,0.01
N002-IMG-0026,STD_009,B,2025-09-13T06:17:00Z,1.4548,45,-10.5196,0.01
N002-IMG-0027,STD_009,B,2025-09-13T07:24:00Z,1.8381,45,-10.3996,0.01
N002-IMG-0028,STD_010,B,2025-09-13T05:31:00Z,1.05,45,-8.914,0.01
N002-IMG-0029,STD_010,B,2025-09-13T06:38:00Z,1.4405,45,-8.7911,0.01
N002-IMG-0030,STD_010,B,2025-09-13T07:45:00Z,1.8595,45,-8.6866,0.01
N002-IMG-0031,STD_011,B,2025-09-13T05:52:00Z,1.0643,45,-10.1675,0.01
N002-IMG-0032,STD_011,B,2025-09-13T06:59:00Z,1.4333,45,-10.043,0.01
N002-IMG-0033,STD_011,B,2025-09-13T07:06:00Z,1.8167,45,-9.9454,0.01
N002-IMG-0034,STD_012,B,2025-09-13T05:13:00Z,1.0714,45,-9.553,0.01
N002-IMG-0035,STD_012,B,2025-09-13T06:20:00Z,1.4619,45,-9.4688,0.01
N002-IMG-0036,STD_012,B,2025-09-13T07:27:00Z,1.8167,45,-9.3615,0.01
N002-IMG-0037,STD_013,B,2025-09-13T05:34:00Z,1.0929,45,-8.1071,0.01
N002-IMG-0038,STD_013,B,2025-09-13T06:41:00Z,1.4476,45,-8.0255,0.01
N002-IMG-0039,STD_013,B,2025-09-13T07:48:00Z,1.8167,45,-7.9063,0.01
N002-IMG-0040,STD_014,B,2025-09-13T05:55:00Z,1.0929,45,-8.9329,0.01
N002-IMG-0041,STD_014,B,2025-09-13T06:02:00Z,1.4476,45,-8.8427,0.01
N002-IMG-0042,STD_014,B,2025-09-13T07:09:00Z,1.8452,45,-8.7093,0.01
N002-IMG-0043,PROG_A1,B,2025-09-13T06:55:00Z,1.497,90,-6.4617,0.01
N002-IMG-0044,PROG_A1,B,2025-09-13T07:00:00Z,1.8676,90,-6.4305,0.01
N002-IMG-0045,PROG_A2,B,2025-09-13T06:05:00Z,1.4333,90,-7.434,0.01
N002-IMG-0046,PROG_A2,B,2025-09-13T07:10:00Z,1.8485,90,-7.3158,0.01
N002-IMG-0047,PROG_B1,B,2025-09-13T06:15:00Z,1.4524,90,-6.821,0.01
N002-IMG-0048,PROG_B1,B,2025-09-13T07:20:00Z,1.8485,90,-6.7009,0.01
N002-IMG-0049,PROG_B2,B,2025-09-13T06:25:00Z,1.4652,90,-7.8408,0.01
N002-IMG-0050,PROG_B2,B,2025-09-13T07:30:00Z,1.8676,90,-7.6758,0.01
N002-IMG-0051,PROG_C1,B,2025-09-13T06:35:00Z,1.4779,90,-8.1186,0.01
N002-IMG-0052,PROG_C1,B,2025-09-13T07:40:00Z,1.8803,90,-8.2281,0.01
N002-IMG-0053,PROG_C2,B,2025-09-13T06:45:00Z,1.4524,90,-7.1714,0.01
N002-IMG-0054,PROG_C2,B,2025-09-13T07:50:00Z,1.8548,90,-7.0585,0.01
N002-IMG-0055,PROG_D1,B,2025-09-13T06:55:00Z,1.4779,90,-8.0566,0.01
N002-IMG-0056,PROG_D1,B,2025-09-13T07:00:00Z,1.8485,90,-7.964,0.01
N002-IMG-0057,PROG_D2,B,2025-09-13T06:05:00Z,1.4906,90,-7.4722,0.01
N002-IMG-0058,PROG_D2,B,2025-09-13T07:10:00Z,1.8676,90,-7.3227,0.01
N002-IMG-0059,STD_001,V,2025-09-13T05:08:00Z,1.0714,30,-9.5624,0.01
N002-IMG-0060,STD_001,V,2025-09-13T06:15:00Z,1.4405,30,-9.5303,0.01
N002-IMG-0061,STD_001,V,2025-09-13T07:22:00Z,1.8238,30,-9.4653,0.01
N002-IMG-0062,STD_002,V,2025-09-13T05:29:00Z,1.0857,30,-10.2923,0.01
N002-IMG-0063,STD_002,V,2025-09-13T06:36:00Z,1.4548,30,-10.2327,0.01
N002-IMG-0064,STD_002,V,2025-09-13T07:43:00Z,1.8381,30,-10.1828,0.01
N002-IMG-0065,STD_003,V,2025-09-13T05:50:00Z,1.0857,30,-10.7111,0.01
N002-IMG-0066,STD_003,V,2025-09-13T06:57:00Z,1.469,30,-10.6675,0.01
N002-IMG-0067,STD_003,V,2025-09-13T07:04:00Z,1.8595,30,-10.6108,0.01
N002-IMG-0068,STD_004,V,2025-09-13T05:11:00Z,1.05,30,-9.842,0.01
N002-IMG-0069,STD_004,V,2025-09-13T06:18:00Z,1.4619,30,-9.7628,0.01
N002-IMG-0070,STD_004,V,2025-09-13T07:25:00Z,1.8167,30,-9.7082,0.01
N002-IMG-0071,STD_005,V,2025-09-13T05:32:00Z,1.05,30,-8.7822,0.01
N002-IMG-0072,STD_005,V,2025-09-13T06:39:00Z,1.4333,30,-9.142,0.01
N002-IMG-0073,STD_005,V,2025-09-13T07:46:00Z,1.8524,30,-9.1019,0.01
N002-IMG-0074,STD_006,V,2025-09-13T05:53:00Z,1.0786,30,-11.593,0.01
N002-IMG-0075,STD_006,V,2025-09-13T06:00:00Z,1.469,30,-11.537,0.01
N002-IMG-0076,STD_006,V,2025-09-13T07:07:00Z,1.831,30,-11.485,0.01
N002-IMG-0077,STD_007,V,2025-09-13T05:14:00Z,1.0786,30,-10.469,0.01
N002-IMG-0078,STD_007,V,2025-09-13T06:21:00Z,1.4333,30,-10.4265,0.01
N002-IMG-0079,STD_007,V,2025-09-13T07:28:00Z,1.831,30,-10.367,0.01
N002-IMG-0080,STD_008,V,2025-09-13T05:35:00Z,1.0929,30,-8.8383,0.01
N002-IMG-0081,STD_008,V,2025-09-13T06:42:00Z,1.4619,30,-8.7845,0.01
N002-IMG-0082,STD_008,V,2025-09-13T07:49:00Z,1.8167,30,-8.733,0.01
N002-IMG-0083,STD_009,V,2025-09-13T05:56:00Z,1.0643,30,-11.7441,0.01
N002-IMG-0084,STD_009,V,2025-09-13T06:03:00Z,1.4619,30,-11.6857,0.01
N002-IMG-0085,STD_009,V,2025-09-13T07:10:00Z,1.8167,30,-11.6214,0.01
N002-IMG-0086,STD_010,V,2025-09-13T05:17:00Z,1.0643,30,-10.0234,0.01
N002-IMG-0087,STD_010,V,2025-09-13T06:24:00Z,1.469,30,-9.9899,0.01
N002-IMG-0088,STD_010,V,2025-09-13T07:31:00Z,1.8595,30,-9.9456,0.01
N002-IMG-0089,STD_011,V,2025-09-13T05:38:00Z,1.0571,30,-11.2628,0.01
N002-IMG-0090,STD_011,V,2025-09-13T06:45:00Z,1.4762,30,-11.1899,0.01
N002-IMG-0091,STD_011,V,2025-09-13T07:52:00Z,1.8595,30,-11.1269,0.01
N002-IMG-0092,STD_012,V,2025-09-13T05:59:00Z,1.0857,30,-10.6992,0.01
N002-IMG-0093,STD_012,V,2025-09-13T06:06:00Z,1.4333,30,-10.6444,0.01
N002-IMG-0094,STD_012,V,2025-09-13T07:13:00Z,1.8381,30,-10.598,0.01
N002-IMG-0095,STD_013,V,2025-09-13T05:20:00Z,1.0929,30,-9.4753,0.01
N002-IMG-0096,STD_013,V,2025-09-13T06:27:00Z,1.4405,30,-9.4153,0.01
N002-IMG-0097,STD_013,V,2025-09-13T07:34:00Z,1.8452,30,-9.371,0.01
N002-IMG-0098,STD_014,V,2025-09-13T05:41:00Z,1.05,30,-10.1268,0.01
N002-IMG-0099,STD_014,V,2025-09-13T06:48:00Z,1.469,30,-10.0644,0.01
N002-IMG-0100,STD_014,V,2025-09-13T07:55:00Z,1.8238,30,-10.0093,0.01
N002-IMG-0101,PROG_A1,V,2025-09-13T06:45:00Z,1.4715,60,-7.8619,0.01
N002-IMG-0102,PROG_A1,V,2025-09-13T07:50:00Z,1.8676,60,-7.8616,0.01
N002-IMG-0103,PROG_A2,V,2025-09-13T06:55:00Z,1.497,60,-8.6957,0.01
N002-IMG-0104,PROG_A2,V,2025-09-13T07:00:00Z,1.823,60,-8.6371,0.01
N002-IMG-0105,PROG_B1,V,2025-09-13T06:05:00Z,1.497,60,-8.3354,0.01
N002-IMG-0106,PROG_B1,V,2025-09-13T07:10:00Z,1.8358,60,-8.2828,0.01
N002-IMG-0107,PROG_B2,V,2025-09-13T06:15:00Z,1.4397,60,-9.2117,0.01
N002-IMG-0108,PROG_B2,V,2025-09-13T07:20:00Z,1.8421,60,-9.1398,0.01
N002-IMG-0109,PROG_C1,V,2025-09-13T06:25:00Z,1.4461,60,-9.4905,0.01
N002-IMG-0110,PROG_C1,V,2025-09-13T07:30:00Z,1.8739,60,-9.6438,0.01
N002-IMG-0111,PROG_C2,V,2025-09-13T06:35:00Z,1.4333,60,-8.4689,0.01
N002-IMG-0112,PROG_C2,V,2025-09-13T07:40:00Z,1.8294,60,-8.3869,0.01
N002-IMG-0113,PROG_D1,V,2025-09-13T06:45:00Z,1.497,60,-9.3258,0.01
N002-IMG-0114,PROG_D1,V,2025-09-13T07:50:00Z,1.8612,60,-9.2934,0.01
