timestamp_hours,sample_id,isotope_id,measured_bq,uncertainty_bq
0.0,S05,Fn246,0.0,1.0
0.0,S05,Fn250,3000.0,27.886128
0.0,S05,Wp400,0.0,1.0
50.0,S05,Fn246,247.835693,8.371399
50.0,S05,Fn250,2672.696154,26.349063
50.0,S05,Wp400,543.003349,12.151216
150.0,S05,Fn246,590.121959,12.646213
150.0,S05,Fn250,2121.320344,23.528897
150.0,S05,Wp400,431.454985,10.885747
300.0,S05,Fn246,834.558478,14.944363
300.0,S05,Fn250,1500.0,19.864917
300.0,S05,Wp400,305.084746,9.233338
600.0,S05,Fn246,834.558478,14.944363
600.0,S05,Fn250,300.0,14.193064
600.0,S05,Wp400,152.542373,6.675402
1000.0,S05,Fn246,551.991253,12.247247
1000.0,S05,Fn250,297.637697,9.12609
1000.0,S05,Wp400,60.536481,4.39026
2000.0,S05,Fn246,109.528937,5.732804
2000.0,S05,Fn250,29.5294,3.217048
2000.0,S05,Wp400,6.00598,1.725355
